AIAN,Asian,AfricanAmerican,NHPI,White
,,,,1
,1,,,
,,,,1
,1,,,
,,,,1
1,,,,
,,,,1
,,,,1
,,,,1
,,1,,
,,,,1
,1,,,
,,1,,
,1,,,
,,,,1
,,,,1
,,1,,
,,1,,
,,,,1
,,,,1
,,,,1
,,1,,
,,,,1
,,1,,
,1,,,
,1,,,
,,,,1
,,,1,
,,1,,
,,1,,
1,,,,
,,1,,
,,,,1
,,1,,
,,,,1
,,1,,
,,1,,
,1,,,
,1,,,
,,1,,
,,,,1
,,,1,
,,,,1
,,,,1
,,,,1
,1,,,
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,1,,,
,,,,1
,,,,1
,1,,,
,1,,,
,,1,,
,,,,1
,,,,1
,1,,,
,,1,,
,,,,1
,,,,1
,,,,1
,1,,,
,,,,1
,,,,1
,,,,1
,,1,,
,,1,,
,,,,1
,,,,1
1,,,,
,1,,,
,,,,1
,,,,1
,,,,1
,,1,,
,1,,,
,,,1,
,,,,1
,,,,1
,,,,1
,,,,1
,,1,,
,,1,,
,,,,1
,1,,,
,,,,1
,1,,,
,,1,,
,1,,,
,,1,,
,1,,,
,,,,1
,,,,1
,,1,,
,,,,1
,1,,,
,,,,1
,1,,,
,1,,,
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,1,,,
,,1,,
,,,,1
,,,,1
,,1,,
,,,,1
,,,,1
,,,,1
,,,,1
,,,1,
,,1,,
,,1,,
1,,,,
,,,,1
,,,,1
,,1,,
,,,,1
,,1,,
,1,,,
,,,,1
,,,,1
,,,,1
,,,,1
,,1,,
,1,,,
,,,,1
,,1,,
,,,,1
,,,,1
,,1,,
,1,,,
,,,,1
,,1,,
,,,1,
,,,,1
,,1,,
,,,,1
,,,,1
,,,,1
,,,,1
,,1,,
,,,,1
,,,,1
,,1,,
,1,,,
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,1,,
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
1,,,,
,,,,1
,,1,,
,1,,,
,,,,1
1,,,,
,,,,1
,,,,1
,,1,,
,,,,1
,,,,1
,,,,1
,,,,1
,1,,,
,,1,,
1,,,,
,1,,,
,,,,1
,,,1,
,1,,,
1,,,,
,1,,,
1,,,,
,,,,1
,1,,,
,1,,,
,,,,1
,,,,1
,,,,1
,,,,1
,,1,,
,,,,1
,,,,1
